iter	Passed	Remaining
0	1	132
1	3	157
2	4	146
3	5	138
4	6	131
5	7	123
6	8	118
7	9	113
8	10	109
9	11	105
10	12	102
11	13	98
12	14	95
13	15	92
14	17	99
15	19	101
16	20	99
17	21	97
18	22	94
19	23	92
20	24	90
21	24	88
22	25	86
23	26	84
24	27	82
25	28	81
26	29	79
27	30	77
28	31	77
29	32	76
30	33	75
31	34	73
32	35	72
33	36	70
34	37	69
35	38	67
36	38	66
37	39	65
38	40	63
39	41	62
40	42	60
41	42	58
42	43	57
43	44	56
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	50	47
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	33
65	62	32
66	63	31
67	64	30
68	64	29
69	65	28
70	66	27
71	67	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	75	21
78	76	20
79	78	19
80	79	18
81	80	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	87	8
91	89	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	98	0
99	99	0
